date,die_number,production_number,pressing_type,billet_size,billet_length,billet_quantity
ì˙ït,å^î‘,ïiî‘,éÌï ,ÉrÉåÉbÉgÉTÉCÉY,ÉrÉåÉbÉgí∑Ç≥,ÉrÉåÉbÉgêî
2021-06-26,MHY25B-V01D,P3319401-M,ÅZ,9,1200,1
2021-06-29,XLA25BN-V01D,XLA25-3-1B,Åù,9,1200,6
2021-06-29,MYB16H-V01D,MYB16LAA7163-20K,ÅZ,9,1200,1
2021-06-29,MSQ30B2-V01D,P6260301-D,ÅZ,9,1200,2
2021-06-30,DXT192M1-V01D,DXT192-11-3,ÅZ,9,600,4
2021-07-01,XLA25B2-V01B,XLA25-1B-S,Åù,9,1200,6
2021-07-01,VV14M1-V01D,DXT199-20-23,ÅZ,9,1200,3
2021-07-01,MXS12TB-V01D,P3800302-M-1,Åù,9,600,5
2021-07-01,MXS25TB-V01D,P3800602-M-2,Åù,9,1200,5
2021-07-02,MXS06TB-V01D,P3800102-M-1,ÅZ,9,600,1
2021-07-02,MXS16TB-V01D,P3800402-M-2,ÅZ,9,600,1
2021-07-05,DXT155M-V01D,DXT155-38-1,Åú,9,1200,2
2021-07-05,SY30M-V01B,SY3000-20-1,Åù,9,1200,5
2021-07-05,VV10M1-V01B,DXT156-10-11,ÅZ,9,1200,1
2021-07-06,MHY10B-V01D,P3319101-M,ÅZ,9,600,2
2021-07-06,MHY16B-V01D,P3319201-M,Åù,9,600,5
2021-07-06,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-07-07,DXT192M1-V01D,DXT192-11-3,Åú,9,600,13
2021-07-07,SY50MP-V01D,SY50M-20-E-1,ÅZ,9,1200,5
2021-07-08,VV14M1-V01D,DXT199-20-23,Åú,9,1200,20
2021-07-08,DXT192M1-V01D,DXT192-11-3,Åù,9,600,6
2021-07-09,VJ30M1-V01D,VJ3000-20-1,ÅZ,9,600,1
2021-07-09,SY70M-V01B,SY7000-20-1,ÅZ,9,1200,1
2021-07-09,XLA40B2-V01B,XLA40-1B-S,ÅZ,9,1200,2
2021-07-10,MHY20B-V01D,P3319301-M,ÅZ,9,1200,1
2021-07-10,MXS08TB-V01D,P3800202-M-1,ÅZ,9,600,1
2021-07-10,MHY25B-V01D,P3319401-M,ÅZ,9,1200,1
2021-07-10,MXS20TB-V01D,P3800502-M-2,ÅZ,9,1200,1
2021-07-10,VV10M1-V01B,DXT156-10-11,ÅZ,9,1200,1
2021-07-10,CQ63T-V02C,C2Q63-04-J0782AK,ÅZ,9,1200,1
2021-07-12,DXT155M-V01D,DXT155-38-1,ÅZ,9,1200,2
2021-07-13,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-07-13,VV15M1-V01D,DXT201-13-13,Åú,9,1200,1
2021-07-13,DXT192M1-V01D,DXT192-11-3,Åú,9,600,3
2021-07-14,APT6-V01B,APTE00-96000150-D,Åù,9,1200,5
2021-07-14,VV14M1-V01D,DXT199-20-23,Åú,9,1200,17
2021-07-14,DXT155M-V01D,DXT155-38-1,Åú,9,1200,15
2021-07-15,SY70M-V01B,SY7000-20-1,ÅZ,9,1200,1
2021-07-15,XLA40B2-V01B,XLA40-1B-S,ÅZ,9,1200,2
2021-07-16,APT4-V01B,APTE00-98000565-D,Åù,9,1200,5
2021-07-16,XLA16B2-V01B,XLA16-1B-S,Åù,9,1200,5
2021-07-16,XLA16BN-V01B,XLA16-3-1B,Åù,9,1200,5
2021-07-17,DXT192M1-V01D,DXT192-11-3,Åú,9,1200,20
2021-07-19,VJ10M-V01D,VJ100-16-7,ÅZ,9,600,1
2021-07-19,SY30M-V01B,SY3000-20-1,Åù,9,1200,5
2021-07-20,VJ30M1-V01D,VJ3000-20-1,ÅZ,9,600,1
2021-07-20,MYB20H1-V01D,MYB20LAA7164-20K,Åù,9,1200,5
2021-07-20,DXT155M-V01D,DXT155-38-1,Åú,9,1200,15
2021-07-20,DXT192M1-V01D,DXT192-11-3,Åú,9,600,20
2021-07-21,VV10M1-V01B,DXT156-10-11,Åù,9,1200,3
2021-07-21,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-07-22,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-07-24,DXT192M1-V01D,DXT192-11-3,Åú,9,600,20
2021-07-24,MHY20B-V01D,P3319301-M,ÅZ,9,1200,1
2021-07-26,VV15M1-V01D,DXT201-13-13,Åú,9,1200,3
2021-07-26,DXT192M1-V01D,DXT192-11-3,Åú,9,600,5
2021-07-27,APT6-V01B,APTE00-96000150-D,Åù,9,1200,5
2021-07-27,VJ30M1-V01D,VJ3000-20-1,ÅZ,9,600,1
2021-07-28,XLA40B2-V01B,XLA40-1B-S,ÅZ,9,1200,2
2021-07-28,DXT192M1-V01D,DXT192-11-3,Åú,9,600,7
2021-07-29,SY30MP-V01D,SY30M-20-E-1,ÅZ,9,1200,1
2021-07-29,VJ30M1-V01D,VJ3000-20-1,ÅZ,9,600,1
2021-07-29,VJ10M-V01D,VJ100-16-7,Åù,9,600,1
2021-07-30,SY50MP-V01D,SY50M-20-E-1,ÅZ,9,1200,3
2021-07-30,SY50M-V01B,SY5000-20-1,ÅZ,9,1200,1
2021-07-30,APT4-V01B,APTE00-98000565-D,Åù,9,1200,5
2021-07-30,DXT192M1-V01D,DXT192-11-3,Åú,9,600,24
2021-08-02,VV15M1-V01D,DXT201-13-13,Åú,9,1200,4
2021-08-02,SY30M-V01B,SY3000-20-1,Åú,9,1200,10
2021-08-02,XLA25BN-V01D,XLA25-3-1B,Åú,9,1200,14
2021-08-03,MHY10B-V01D,P3319101-M,Åù,9,600,5
