押出日,押出時間[h],金型番号,品番,単重[kg/m],製品長さ[m],製品重量[kg],ディスカード厚,ディスカード重量,押出種別,計画ビレット数,実績ビレット数,投入ビレット長[mm],ビレットサイズ,切断数,不良数,良品数,寸法チェック完了日,エッチング完了日,時効完了日,梱包完了日,成形不良,ダイスマーク,内面フクレ,磕碰伤不良,粗さ不良,真円度不良,寸法不良,曲がり不良,ねじれ不良,硬度不足,エッチング不良,裂纹不良,粘铝不良,押出振動による不良,内径ダイスマーク,表面坑,外面フクレ異常,型材表面黒線,エッチング巻込不良,浸蚀边部裂纹不良,拉伤不良,粘毛毡不良,停机痕不良,卷裂不良,其他不良
press_date_at,pressing_time,die_number,production_number,specific_weight,production_length,production_weight,discard_thickness,discard_weight,pressing_type,plan_billet_quantities,actual_billet_quantities,billet_length,billet_size,work_quantity,total_ng,total_ok,dimension_check_date,etching_check_date,aging_check_date,packing_check_date,code_301,code_302,code_303,code_304,code_305,code_306,code_307,code_308,code_309,code_310,code_311,code_312,code_313,code_314,code_315,code_316,code_317,code_318,code_319,code_320,code_321,code_322,code_323,code_324,code_351
2021-08-11,0.63,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,7,7,600,9,90,4,86,2021-08-12,2021-08-12,2021-08-14,2021-08-17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2021-08-11,1.83,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,20,20,1200,9,129,2,127,2021-08-14,2021-08-12,2021-08-19,2021-08-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-09,0.33,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-07,0.50,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,0.33,SY70M-V01B,SY7000-20-1,6.22,2,12.44,35,4.17,〇,1,2,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,0.58,VJ10M-V01D,VJ100-16-7,0.66,2,1.32,25,2.98,◎,5,2,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-06,0.50,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,7,2,600,9,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-05,0.37,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,0.25,XLA40B2-V01B,XLA40-1B-S,12.34,2.035,25.112,50,5.95,〇,2,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-05,1.67,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,35,4.17,●,14,14,1200,9,91,22,69,2021-08-06,2021-08-06,2021-08-11,2021-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
2021-08-04,0.25,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-08-04,1.67,XLA25BN-V01D,XLA25-3-1B,5.87,2,11.74,35,4.17,●,22,22,1200,9,196,13,183,2021-08-06,2021-08-04,2021-08-11,2021-08-19,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-03,1.00,MHY10B-V01D,P3319101-M,1.02,2,2.04,25,2.98,◎,5,5,600,9,118,0,118,2021-08-06,2021-08-03,2021-08-11,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-03,1.42,XLA25B2-V01B,XLA25-1B-S,7.28,2,14.56,50,5.95,●,14,14,1200,9,97,18,79,2021-08-06,2021-08-06,2021-08-09,2021-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,6
2021-08-02,1.08,VV15M1-V01D,DXT201-13-13,3.54,2,7.08,25,2.98,●,4,4,1200,9,62,23,39,2021-08-02,2021-08-03,2021-08-07,2021-08-13,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,20,0
2021-08-02,1.17,SY30M-V01B,SY3000-20-1,3.22,2,6.44,50,5.95,●,10,10,1200,9,167,34,133,2021-08-07,2021-08-02,2021-08-07,2021-08-13,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-08-02,1.58,XLA25BN-V01D,XLA25-3-1B,5.87,2,11.74,35,4.17,●,10,14,1200,9,117,7,110,2021-08-03,2021-08-03,2021-08-05,2021-08-19,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-30,0.02,SY50MP-V01D,SY50M-20-E-1,6.73,2,13.46,35,4.17,〇,5,3,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,0.00,SY50M-V01B,SY5000-20-1,4.44,2,8.88,50,5.95,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,0.00,APT4-V01B,APTE00-98000565-D,3.06,3,9.18,35,4.17,◎,5,5,1200,9,60,4,56,2021-07-31,2021-07-31,2021-08-05,,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021-07-30,2.50,DXT192M1-V01D,DXT192-11-3,1.85,2,3.7,25,2.98,●,24,24,600,9,347,6,341,2021-08-01,2021-07-31,2021-08-07,2021-08-02,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2021-07-29,0.00,SY30MP-V01D,SY30M-20-E-1,4.22,2,8.44,25,2.98,〇,1,1,1200,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-29,0.00,VJ30M1-V01D,VJ3000-20-1,1.79,2,3.58,25,2.98,〇,1,1,600,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
